Source,Target,Type
91,94,Undirected
91,105,Undirected
91,111,Undirected
91,116,Undirected
92,96,Undirected
92,101,Undirected
92,103,Undirected
92,110,Undirected
92,113,Undirected
93,93,Undirected
94,105,Undirected
94,111,Undirected
94,116,Undirected
95,107,Undirected
95,109,Undirected
96,101,Undirected
96,103,Undirected
96,110,Undirected
96,113,Undirected
96,97,Undirected
96,101,Undirected
96,103,Undirected
96,108,Undirected
96,110,Undirected
96,113,Undirected
96,97,Undirected
96,98,Undirected
96,100,Undirected
96,101,Undirected
96,102,Undirected
96,103,Undirected
96,104,Undirected
96,106,Undirected
96,112,Undirected
96,113,Undirected
96,115,Undirected
97,101,Undirected
97,103,Undirected
97,108,Undirected
97,110,Undirected
97,113,Undirected
97,98,Undirected
97,100,Undirected
97,101,Undirected
97,102,Undirected
97,103,Undirected
97,104,Undirected
97,106,Undirected
97,112,Undirected
97,113,Undirected
97,115,Undirected
98,100,Undirected
98,101,Undirected
98,10,Undirected
98,103,Undirected
98,104,Undirected
98,106,Undirected
98,112,Undirected
98,113,Undirected
98,116,Undirected
99,114,Undirected
100,101,Undirected
100,102,Undirected
100,103,Undirected
100,104,Undirected
100,106,Undirected
100,112,Undirected
100,113,Undirected
100,115,Undirected
101,103,Undirected
101,110,Undirected
101,113,Undirected
101,103,Undirected
101,110,Undirected
101,113,Undirected
101,108,Undirected
101,102,Undirected
101,103,Undirected
101,104,Undirected
101,106,Undirected
101,112,Undirected
101,113,Undirected
101,115,Undirected
101,101,Undirected
101,101,Undirected
101,101,Undirected
101,101,Undirected
101,101,Undirected
102,103,Undirected
102,104,Undirected
102,106,Undirected
102,112,Undirected
102,113,Undirected
102,115,Undirected
103,110,Undirected
103,113,Undirected
103,108,Undirected
103,110,Undirected
103,113,Undirected
103,104,Undirected
103,106,Undirected
103,112,Undirected
103,113,Undirected
103,115,Undirected
104,106,Undirected
104,112,Undirected
104,113,Undirected
104,115,Undirected
105,111,Undirected
105,116,Undirected
106,112,Undirected
106,113,Undirected
106,115,Undirected
107,109,Undirected
108,110,Undirected
108,113,Undirected
110,113,Undirected
110,113,Undirected
111,116,Undirected
112,113,Undirected
112,115,Undirected
113,115,Undirected
116,116,Undirected